ETH Simulated time (yr AD),ETH solar modulation parameter (MeV),ETH solar modulation parameter sig (MeV),QL Simulated time (yr AD),QL solar modulation parameter (MeV),Sunspot times (yr AD),Sunspots
1573.08333333333,390.981930176908,188.121443639229, , , , 
1573.16666666666,390.729024169324,189.669081714734, , , , 
1573.25,390.620733439902,191.134865512918, , , , 
1573.33333333333,390.658368190581,192.510658256052, , , , 
1573.41666666666,390.842471080752,193.788490505219, , , , 
1573.5,391.172832572369,194.960595014578, , , , 
1573.58333333333,391.64849992484,196.019437336128, , , , 
1573.66666666666,392.267780272868,196.957743120499, , , , 
1573.75,393.028238800241,197.768523198208, , , , 
1573.83333333333,393.926693566397,198.445097606964, , , , 
1573.91666666666,394.959209055787,198.981119771848, , , , 
1574,396.121091002056,199.370602056202, , , , 
1574.08333333333,397.406885457824,199.60794388171, , , , 
1574.16666666666,398.810385338826,199.687963548959, , , , 
1574.25,400.324647634068,199.605934747752, , , , 
1574.33333333333,401.942024084503,199.357628518191, , , , 
1574.41666666666,403.654207479608,198.93936112487, , , , 
1574.5,405.452294957525,198.34804796855, , , , 
1574.58333333333,407.326868923723,197.5812633098, , , , 
1574.66666666666,409.268095456815,196.637305232223, , , , 
1574.75,411.265839348202,195.515264930153, , , , 
1574.83333333333,413.309794220144,194.215099058701, , , , 
1574.91666666666,415.389625481443,192.737703524817, , , , 
1575,417.495123213574,191.084986732134, , , , 
1575.08333333333,419.616361467784,189.259939958719, , , , 
1575.16666666666,421.743859998345,187.266702335167, , , , 
1575.25,423.868744297515,185.110617903193, , , , 
1575.33333333333,425.982899985186,182.798282497679, , , , 
1575.41666666666,428.079118036793,180.337578624498, , , , 
1575.5,430.151227837923,177.737696983377, , , , 
1575.58333333333,432.194215523347,175.009143729238, , , , 
1575.66666666666,434.204325462547,172.163732942788, , , , 
1575.75,436.179143097725,169.21456408347, , , , 
1575.83333333333,438.117657632797,166.175984427249, , , , 
1575.91666666666,440.020303320953,163.063536654555, , , , 
1576,441.888978312806,159.893891865977, , , , 
1576.08333333333,443.727040225472,156.68476839538, , , , 
1576.16666666666,445.539277814984,153.454836901692, , , , 
1576.25,447.331858430874,150.223612381505, , , , 
1576.33333333333,449.112251324112,147.011333951275, , , , 
1576.41666666666,450.889127337412,143.838833465245, , , , 
1576.5,452.672235977411,140.727394224147, , , , 
1576.58333333333,454.472261317551,137.698601168394, , , , 
1576.66666666666,456.300658600174,134.774184035887, , , , 
1576.75,458.16947379929,131.975855012314, , , , 
1576.83333333333,460.091148775339,129.325142431493, , , , 
1576.91666666666,462.07831500348,126.843222108976, , , , 
1577,464.143579187146,124.550747918969, , , , 
1577.08333333333,466.299304361613,122.46768325185, , , , 
1577.16666666666,468.557390294892,120.613135010206, , , , 
1577.25,470.929057032013,119.00519180317, , , , 
1577.33333333333,473.424635273694,117.660767972575, , , , 
1577.41666666666,476.053366980372,116.595455027802, , , , 
1577.5,478.82321923258,115.823381981081, , , , 
1577.58333333333,481.740714014966,115.357085966922, , , , 
1577.66666666666,484.810776240767,115.207394408476, , , , 
1577.75,488.036601994968,115.383319868505, , , , 
1577.83333333333,491.419548644339,115.891968593129, , , , 
1577.91666666666,494.959048137872,116.738463619108, , , , 
1578,498.65254449922,117.925883171572, , , , 
1578.08333333333,502.495456191069,119.455214933382, , , , 
1578.16666666666,506.481163708139,121.325326620327, , , , 
1578.25,510.60102242881,123.532953143314, , , , 
1578.33333333333,514.844400424051,126.072700475897, , , , 
1578.41666666666,519.198740585024,128.937066174389, , , , 
1578.5,523.649646086417,132.116476323187, , , , 
1578.58333333333,528.180987849899,135.599338502524, , , , 
1578.66666666666,532.775032310153,139.372110197653, , , , 
1578.75,537.412587413583,143.419381882963, , , , 
1578.83333333333,542.073164396307,147.723973819414, , , , 
1578.91666666666,546.73515249255,152.267045399986, , , , 
1579,551.376003322789,157.028215669323, , , , 
1579.08333333333,555.972421344724,161.985693452203, , , , 
1579.16666666666,560.500556537648,167.116415412725, , , , 
1579.25,564.936195589438,172.396190409237, , , , 
1579.33333333333,569.254948324287,177.799848720661, , , , 
1579.41666666666,573.432426833515,183.301395013567, , , , 
1579.5,577.444415563872,188.874164191704, , , , 
1579.58333333333,581.267031357685,194.4909794758, , , , 
1579.66666666666,584.876873097198,200.124312208472, , , , 
1579.75,588.251161188978,205.746442982122, , , , 
1579.83333333333,591.367867645223,211.329623750473, , , , 
1579.91666666666,594.205837986576,216.846240604803, , , , 
1580,596.744906609894,222.268976879153, , , , 
1580.08333333333,598.96600760988,227.570976212672, , , , 
1580.16666666666,600.85128323253,232.72600515762, , , , 
1580.25,602.384192054142,237.708614874598, , , , 
1580.33333333333,603.549618574797,242.494301382044, , , , 
1580.41666666666,604.333985271487,247.059663707589, , , , 
1580.5,604.725367413702,251.382559121541, , , , 
1580.58333333333,604.713610198293,255.442254424339, , , , 
1580.66666666666,604.290447040988,259.219572017432, , , , 
1580.75,603.449617171435,262.697029213559, , , , 
1580.83333333333,602.186980014924,265.858968941548, , , , 
1580.91666666666,600.500623205668,268.691679678762, , , , 
1581,598.390960469199,271.183502109183, , , , 
1581.08333333333,595.86081508467,273.324919692851, , , , 
1581.16666666666,592.915484333023,275.108630157689, , , , 
1581.25,589.562780443168,276.529595052395, , , , 
1581.33333333333,585.813044136588,277.585064997874, , , , 
1581.41666666666,581.679127802326,278.274579024542, , , , 
1581.5,577.176346383521,278.599937181907, , , , 
1581.58333333333,572.322395078767,278.565146340612, , , , 
1581.66666666666,567.137233921038,278.176339780065, , , , 
1581.75,561.64294020328,277.44167180695, , , , 
1581.83333333333,555.86353058721,276.371189293854, , , , 
1581.91666666666,549.824755571844,274.976682647557, , , , 
1582,543.553869814633,273.271519292601, , , , 
1582.08333333333,537.079382557955,271.270463255583, , , , 
1582.16666666666,530.430793007207,268.989484791347, , , , 
1582.25,523.6383157806,266.445564117901, , , , 
1582.33333333333,516.732601441051,263.656493193917, , , , 
1582.41666666666,509.744456731522,260.640679149241, , , , 
1582.5,502.704568647252,257.416952575041, , , , 
1582.58333333333,495.643236013937,254.004383473147, , , , 
1582.66666666666,488.590111839035,250.422107278082, , , , 
1582.75,481.57395936584,246.68916299634, , , , 
1582.83333333333,474.622424482536,242.824345147463, , , , 
1582.91666666666,467.761826916746,238.846070838, , , , 
1583,461.016972472677,234.772262953404, , , , 
1583.08333333333,454.410988417761,230.620250116984, , , , 
1583.16666666666,447.965183935943,226.40668374653, , , , 
1583.25,441.698937251783,222.147472251902, , , , 
1583.33333333333,435.629610555578,217.857732169947, , , , 
1583.41666666666,429.772493272725,213.551755818957, , , , 
1583.5,424.140773607243,209.242994852678, , , , 
1583.58333333333,418.745537707884,204.944058884624, , , , 
