Year,D13C,d18O
1434,2.1962757572,3.3340120045
1433,2.25,3.28
1432,1.97,3.55
1431,1.99,3.65
1430,1.88,3.62
1429,1.9788916348,3.1657078774
1428,2.0914006546,3.7286952192
1427,1.97,3.47
1426,2.01,3.67
1425,1.93,3.71
1424,1.893573865,4.0001168497
1423,1.9554846933,3.4246089999
1422,2.0738642927,3.1677967336
1421,2.04,3.72
1420,2.2036893068,3.4607221271
1419,2.0629853262,3.9420913234
1418,2.0006400791,3.6263116805
1417,2.076371919,3.2430869658
1416,2.364093947,3.3586425044
1415,2.2338668296,3.6551230926
1414,2.2203441396,3.7525200602
1413,2.0905486708,3.6951476814
1412,1.9733167372,3.754034789
1411,1.9636934976,3.9232585355
1410,1.9781287124,3.6781828186
1409,2.0595843811,3.8497570012
1408,2.0183504892,3.877113227
1407,1.9020749377,3.6887811842
1406,1.9404280062,3.5653058921
1405,1.9234032327,3.8323215921
1404,2.0427224493,3.6545762477
1403,2.0663904762,3.7628498988
1402,1.88,3.6
1401,1.78,3.71
1400,1.8134507172,3.7104813877
1399,1.8982675072,3.5558988721
1398,2.1040640258,3.5892638968
1397,1.764915854,3.7172146443
1396,1.9789329508,4.091214854
1395,2.1711787517,3.5051507581
1394,1.9514068252,3.6371774157
1393,1.78,3.42
1392,1.8120824907,3.5795310039
1391,1.7572437195,3.590732865
1390,1.6274471248,3.7594988408
1389,1.8800886998,3.4307283895
1388,2.02,3.45
1387,1.6130367084,3.3277082897
1386,1.9854355298,3.268630193
1385,1.928054839,3.2317093663
1384,1.8454051013,3.5239639943
1383,2.0056322099,3.3985111915
1382,2.0596530118,3.3629985233
1381,1.1756491137,4.2439278168
1380,1.51,3.53
1379,1.53,3.3
1378,1.283774346,3.9176947293
1377,1.5,3.83
1376,1.48,3.44
1375,1.65,3.72
1374,1.48,3.17
1373,1.16,3.1
1372,1.26,3.08
1371,1.11,2.95
1370,1.37,3.24
1369,1.34,3.1
1368,1.13,2.75
1367,1.24,3.28
1366,1.68,3.25
1365,1.26,3.49
1364,1.54,3.57
1363,1.3028442218,3.5420964973
1362,1.1188224136,3.3415118465
1361,1.4588818495,3.2566209868
1360,1.8,3.28
1359,1.71,3.2
1358,1.54,3.26
1357,1.793106778,3.1179943398
1356,2.0291921057,3.0615279116
1355,1.5862135559,3.2183819397
1354,1.82,3.22
1353,2.34,2.945
1352,2.53,3.1
1351,2.53,3.55
1350,2.33,3.35
1349,1.82,3.61
1348,2.18,3.49
1347,1.845,3.74
1346,1.5080084264,3.7287786
1345,1.61,3.89
1344,1.8040603804,3.7886159464
1343,1.9623541467,3.8195338112
1342,1.9317886782,3.7780874742
1341,2.2268505958,3.7305025516
1340,2.0283378712,4.0522326511
1339,2.0135496268,3.6650206862
1338,1.2006101979,3.4664417657
1337,2.0064061436,3.7171765647
1336,2.0803858897,3.674714334
1335,2.0247782148,3.6055289069
1334,2.0828791211,3.705843751
1333,2.0115045573,3.7638002634
1332,2.1161532211,3.8714147004
1331,1.888,3.7397482467
1330,1.8895622776,3.8842759187
1329,1.776,3.8041918139
1328,1.9734813705,3.6896384383
1327,2.0757086624,3.7254022173
1326,2.152806144,3.6457416186
1325,2.2098002985,3.8208700214
1324,2.034,3.7645062626
1323,2.0133073959,3.6580116362
1322,2.29,3.4
1321,1.84,3.45
1320,1.8,3.37
1319,2.06,3.19
1318,2.1,3.26
1317,2.2,3.14
1316,2.24,3.6
1315,2.04,3.34
1314,1.89,3.54
1313,1.94,3.28
1312,1.89,3.24
1311,1.99,3.38
1310,1.86,3.56
1309,1.95,3.21
1308,1.94,3.15
1307,1.97,3.28
1306,2,3.23
1305,1.95,3.24
1304,1.822,4.0372328681
1303,1.8223337635,3.9549946079
1302,1.95,3.13
1301,2.06,3.46
1300,2.02,3.52
1299,1.725,3.794830469
1298,1.94,3.09
1297,1.87,3.34
1296,1.81,3.45
1295,1.87,3.66
1294,1.81,3.2
1293,1.96,3.08
1292,2,3.25
1291,2.07,3.25
1290,1.92,3.34
1289,1.82,3.705
1288,1.856,3.7858604459
1287,1.91,3.23
1286,2.01,3.35
1285,1.672,3.5986841274
1284,2.0702062271,3.4709912596
1283,2.06,3.21
1282,1.91,3.53
1281,2.13,3.34
1280,2.13,3.44
1279,1.9642766445,3.3526945299
1278,2.29,3.44
1277,2.4994618307,3.1988859721
1276,2.18,3.53
1275,1.76,3.88
1274,1.77,3.8055519337
1273,1.84,3.39
1272,1.53,3.48
1271,1.7425201247,3.4528478632
1270,1.61,3.54
1269,1.8825,3.7329194629
1268,1.88,3.32
1267,1.74,3.63
1266,2.18,3.41
1265,2.23,3.43
1264,2.3005,3.7198464031
1263,1.9,3.63
1262,2.2171418897,3.6513642214
1261,2.06,3.74
1260,2.11,3.2816998169
1259,2.43,3.51
1258,2.3352397947,3.9777847789
1257,2.2045755993,4.0075868112
1256,1.842,4.0168749931
1255,1.74,3.585
1254,1.8245,3.9229970357
1253,1.685,3.9524812773
1252,1.989385083,3.9782062754
1251,1.8536294919,3.7172733542
1250,2.58,3.07
1249,2.93,3.42
1248,2.6886187854,3.1158940299
1247,2.8898317635,3.7385386474
1246,2.93,3.73
1245,2.88,3.75
1244,3,3.53
1243,2.97,3.58
1242,2.94,3.92
1241,3.1,4
1240,3.15,3.4
1239,3.21,3
1238,3.14,3.08
1237,3.04,3.68
1236,3.01,4.05
1235,3.01,3.79
1234,2.77,3.65
1233,2.77,3.98
1232,2.79,3.68
1231,2.96,3.24
1230,2.72,3.555
1229,2.31,3.46
1228,2.52,3.65
1227,2.68,3.53
1226,2.71,3.41
1225,2.55,3.32
1224,2.369,3.2218654269
1223,2.49,3.14
1222,2.31,3.12
1221,1.79,3.94
1220,1.5865,3.5160671758
1219,1.54,3.44
1218,1.79,3.63
1217,1.77,3.42
1216,2.6465256288,3.8894798229
1215,2.3310154645,3.7641867295
1214,2.14,3.96
1213,2.3201864185,3.5165341385
1212,2.2028745282,3.3938998164
1211,2.2638059452,3.3948786559
1210,2.3767476759,3.5845778748
1209,2.0346037285,3.2662172271
1208,1.9667373644,3.5314504411
1207,1.9566994083,3.2839026737
1206,1.5002673987,3.5785289212
1205,1.9411532017,3.5776363138
1204,1.9137573695,3.5610106267
1203,1.8694431469,3.6656150697
1202,1.5379910935,3.6606329915
1201,1.5397841979,3.7640069663
1200,1.33954034,4.172114815
1199,1.7802081459,4.075239077
1198,1.9984678359,4.2122601885
1197,1.8542960468,3.9256090941
1196,1.6698582953,3.9325557663
1195,2.0826575795,3.5898686585
1194,2.396060576,3.4999536453
1193,2.10842995,3.4475418799
1192,2.6312599178,2.7610976033
1191,2.2710319889,3.5210093478
1190,2.69,3.18
1189,2.15,3.44
1188,2.195,3.295
1187,2.3,3.215
1186,2.125,3.62
1185,1.935,3.78
1184,1.8667010887,3.6377874941
1183,1.855,3.57
1182,2.055,3.52
1181,1.695,3.73
1180,1.0929291585,3.7391460556
1179,1.304,3.1866745673
1178,1.48,3.74
1177,1.42,3.36
1176,1.205,3.355
1175,2.308,3.963051928
1174,2.39,3.76
1173,2.48,3.74
1172,2.32,3.48
1171,2.37,3.77
1170,2.2,2.91
1169,2.24,3.55
1168,2.27,3.65
1167,2.41,3.71
1166,2.42,3.65
1165,2.4483028975,3.8607382507
1164,2.53,3.78
1163,2.58,3.68
1162,2.59,3.84
1161,2.55,3.8
1160,2.46,3.62
1159,2.41,3.65
1158,2.41,3.83
1157,2.49,3.45
1156,2.36,3.74
1155,2.37,3.66
1154,2.0490377768,3.6098781032
1153,2.37,3.61
1152,2.44,3.64
1151,2.27,3.65
1150,2.3886080436,3.6569747107
1149,2.37,3.56
1148,2.2,3.47
1147,2.2516695739,3.8594249134
1146,2.3766765666,3.8927074836
1145,2.13,3.49
1144,2.15,3.45
1143,1.948,3.7145510563
1142,2.17,3.62
1141,2.16,3.88
1140,2.14,3.57
1139,2.2,3.77
1138,2.23,3.77
1137,2.2657804644,3.5812872442
1136,2.29,3.65
1135,2.38,3.6
1134,2.2134071788,3.5312483778
1133,2.3,3.55
1132,2.28,3.53
1131,2.0919746769,3.7056597801
1130,2.1331696075,3.8529417398
1129,2.32,3.71
1128,2.27,3.82
1127,2.37,3.77
1126,2.27,3.74
1125,2.16,3.69
1124,2.24,3.59
1123,2.33,3.49
1122,2.28,3.58
1121,2.27,3.56
1120,2.184,3.7081227338
1119,2.203,3.7247219285
1118,1.755,3.4132258747
1117,2.0524504367,3.5349421574
1116,2.22,3.51
1115,2.43,3.68
1114,2.23,3.67
1113,2.23,3.33
1112,2.32,3.61
1111,2.0613764784,3.4942374236
1110,2.18,3.37
1109,2.31,3.5
1108,2.1693898681,3.7508947425
1107,2.2,3.33
1106,1.644,3.4308471045
1105,1.9621536912,3.7800820804
1104,1.92,3.39
1103,1.93,3.57
1102,2.05,3.52
1101,2.19,3.56
1100,2.23,3.75
1099,2.19,3.78
1098,1.9711616583,3.9286888045
1097,2.01,3.72
1096,1.84,3.55
1095,2,3.59
1094,1.6762917436,3.9225059646
1093,1.64,3.74
1092,1.52,3.78
1091,2.08,3.73
1090,1.82,3.51
1089,1.68,3.78
1088,1.709515608,4.0307418631
1087,1.6134514851,4.0165129227
1086,1.4289171827,3.5845815305
1085,1.5220368839,3.6413410133
1084,1.4553724913,3.7895987753
1083,1.56,3.96
1082,1.6505,3.9226872213
1081,1.88,4.1
1080,1.7380936018,3.6133818718
1079,1.7969568043,3.2979715964
1078,1.61,3.67
1077,1.73,4.01
1076,1.84,3.66
1075,1.59,3.89
1074,1.59,3.89
1073,1.59,3.87
1072,1.71,3.62
1071,1.9,3.61
1070,1.9522241391,3.1752850339
1069,1.7,3.55
1068,1.28,3.7
1067,1.38,3.77
1066,1.5,3.51
1065,1.53,3.35
1064,1.8392477222,3.5432723995
1063,1.8,3.66
1062,1.825985221,4.0073273742
1061,1.59,3.49
1060,1.6,3.62
1059,1.75,3.65
1058,1.99,3.09
1057,1.88,3.09
1056,1.63,3.32
1055,1.9794579748,3.5508585872
1054,1.92,3.27
1053,2.06,3.36
1052,1.8088826433,3.4863009559
1051,1.7187002058,3.4681949136
1050,2,3.23
1049,1.88,3.32
1048,1.76,3.44
1047,1.268,2.7834897514
1046,1.61,3.41
1045,1.71,3.35
1044,1.85,3.53
1043,2.1195682897,3.4747141733
1042,2.06,3.26
1041,2.0535413605,3.2422472124
1040,2.04,3.28
1039,1.89,3.25
1038,1.9,3.47
1037,1.96,3.29
1036,1.95,3.22
1035,1.82,3.2
1034,1.73,3.25
1033,1.74,3.06
1032,1.9594507663,3.5382878543
1031,2.1287568894,3.5493348432
1030,2.09,3.71
1029,1.467,3.3607092492
1028,1.64,3.64
1027,1.79,3.67
1026,2,3.79
1025,2.2434726124,3.5669044476
1024,2.13,3.43
